year_month,year,month,weekend,is_cbd_segment,weight_distance,weight_travel_time,bus_trip_count,road_distance,avg_speed_mph
2023-01,2023,1,0,False,524446.334,82978.8850737,518023,30600.563,6.320238377922268
2023-01,2023,1,0,True,334394.699,54669.0214153,348491,19849.493,6.116712725836616
2023-01,2023,1,1,False,178517.473,24534.214613199998,172035,11137.461,7.2762660559736565
2023-01,2023,1,1,True,108956.066,16177.3834308,113101,7372.216,6.735085835485568
2023-02,2023,2,0,False,482432.938,76418.1487829,476735,27883.174,6.313067585169683
2023-02,2023,2,0,True,308128.729,50915.271914,320319,19341.681,6.051793841353814
2023-02,2023,2,1,False,156863.282,21638.9289432,151653,10258.553,7.249124132333455
2023-02,2023,2,1,True,96718.859,14527.0958799,99915,7237.945,6.65782478477493
2023-03,2023,3,1,True,94596.701,14382.2023966,98307,7245.265,6.577344581269624
2023-03,2023,3,1,False,156342.136,21926.6260966,150656,10263.188,7.130241347265132
2023-03,2023,3,0,False,560853.469,89998.98963340001,555186,27479.453,6.231775170861015
2023-03,2023,3,0,True,354574.947,59717.7239834,370789,19224.946,5.937516089838969
2023-04,2023,4,0,False,484192.434,78583.0185001,480728,27490.862,6.161540282387903
2023-04,2023,4,0,True,307756.236,52053.842692700004,320664,19263.502,5.912267377008836
2023-04,2023,4,1,False,193456.312,27371.1109456,185887,11031.757,7.067901349875561
2023-04,2023,4,1,True,117707.11,18146.4804149,121378,7587.024,6.486498059610015
2023-05,2023,5,1,True,90783.94,14346.4367302,93694,7254.228,6.3279782783201535
2023-05,2023,5,1,False,151989.445,21826.6330698,145353,10289.416,6.963485596424731
2023-05,2023,5,0,False,547231.618,90084.8852928,541584,27969.233,6.074621910449802
2023-05,2023,5,0,True,348671.135,59472.311223,363930,19439.981,5.862747349646583
2023-06,2023,6,0,False,526579.388,85536.0336753,523181,27535.038,6.156228730442745
2023-06,2023,6,0,True,336772.879,57765.6531643,352745,19258.386,5.829984784247718
2023-06,2023,6,1,False,149731.543,21581.6388787,143450,10291.532,6.937913466237152
2023-06,2023,6,1,True,87797.54699999999,13808.916175800001,91236,7276.26,6.358033163664531
2023-07,2023,7,0,False,495039.656,78287.5811161,488043,27565.851,6.3233484665448945
2023-07,2023,7,0,True,322386.484,55257.7799707,338935,19713.894,5.834227943484933
2023-07,2023,7,1,False,190094.04,26793.759044,182535,10668.941,7.094713350516911
2023-07,2023,7,1,True,118785.247,18371.0797475,123093,7937.335999999999,6.465882715258732
2023-08,2023,8,0,False,548144.974,86446.1779948,540358,28115.512,6.340881537098987
2023-08,2023,8,0,True,357455.392,60666.1396324,374943,19884.429,5.89217303368836
2023-08,2023,8,1,False,145213.661,20753.2019827,139806,10533.753,6.99716897281928
2023-08,2023,8,1,True,92630.45599999999,14532.5952442,96217,7517.8279999999995,6.3739789379305165
2023-09,2023,9,1,True,103771.122,16929.6506995,106958,7425.41,6.1295489104843
2023-09,2023,9,1,False,165416.362,23758.5021057,158517,10434.856,6.962407026506703
2023-09,2023,9,0,False,478656.18,78248.91168,471943,27994.436,6.117096963053889
2023-09,2023,9,0,True,307732.487,56221.888949600005,319948,19819.552,5.473535179080628
2023-10,2023,10,0,False,521902.044,84829.3936165,516675,27321.832000000002,6.15237268298103
2023-10,2023,10,0,True,336982.47,60346.7916991,351244,19573.962,5.584099179294491
2023-10,2023,10,1,False,161611.243,22805.0450076,156022,10182.116,7.086644334450622
2023-10,2023,10,1,True,100924.201,16443.4336512,104073,7363.494,6.1376597577376915
2023-11,2023,11,0,False,511831.764,82851.5462081,506387,27742.994,6.1776971876230435
2023-11,2023,11,0,True,330092.205,58195.9134746,342851,19707.357,5.6720856378355675
2023-11,2023,11,1,False,143507.016,20221.04326,136597,10515.126,7.09691454366633
2023-11,2023,11,1,True,90867.54699999999,14529.7082009,93971,7382.739,6.253914100929533
